index.php?page=admin&param=delete_autor	 Function: removeAutor	 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'bookstore.autor1' doesn't exist	15.02.2020 15:59:43
index.php?page=admin&param=delete_autor	 Function: removeAutor	 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'bookstore.autor1' doesn't exist	15.02.2020 16:02:03
index.php?page=admin&param=delete_autor	 Function: removeAutor	 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'bookstore.autor1' doesn't exist	15.02.2020 16:04:31
index.php?page=admin&param=delete_autor	 Function: removeAutor	 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'bookstore.autor1' doesn't exist	15.02.2020 16:04:40
index.php?page=admin&param=delete_autor	 Function: removeAutor	 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'bookstore.autor1' doesn't exist	15.02.2020 16:04:46
index.php?page=admin&param=delete_autor	 Function: removeAutor	 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'bookstore.autor1' doesn't exist	15.02.2020 16:04:49
index.php?page=admin&param=delete_autor	 Function: removeAutor	 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'bookstore.autor1' doesn't exist	16.02.2020 12:46:31
index.php?page=admin	 Function: getAllOrders	 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'u.first_nam' in 'field list'	16.02.2020 12:49:13
index.php?page=admin&param=delete_autor	 Function: removeAutor	 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'bookstore.autor1' doesn't exist	16.02.2020 13:22:14
index.php?page=admin&param=edit_category	 Function: editCategory	 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'bookstore.categor' doesn't exist	16.02.2020 14:37:58
index.php?page=admin&param=edit_category	 Function: editCategory	 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'bookstore.categor' doesn't exist	16.02.2020 14:41:14
